account_id,entity_id,account_number,program_id,available_balance,bank_code
acfbe204-7541-492c-a352-040aa984bedc,f2f5e332-c2d1-4555-9a6b-65c7cd195077,TKEIHSyv9154b8Qh6NdoSxvrOM7wVY1rXYfNL-ezn2aUUhitttFCgBmk,21,-25907487.00,HDFC
6f306737-dfa8-4bf7-8003-be64034b8dea,2d52dda2-d98a-4381-af80-45bdb173860c,2pbo7G_2gyeiVz2vBTPpnXby4bqajx2FSQkjZHHO8wS-1c9NW2fTsruA,21,-94766029.00,HDFC
bfbfe347-11d6-48d7-acff-4f091f59d34b,e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,pKfor_B_G_d57oXS2oYCRRsvkvqBgyWzg7mFCRFqY6gny6-Aik_MyPl-,4,40842693.08,UBIN
212239b5-63d9-4da6-aa8c-46485e0f8a42,ac1a0654-461b-4216-95d1-bbcb9ab6da4e,MMXmPuI_rg3V1pYlEiOnrZOo3MOT84pd26m7ENDsZUfqe07xhVdyS8xk,46,109283.80,SBIN
34448e78-c3fe-4b5d-be8c-a45a6349b8d4,e984c75d-aad6-4655-823a-4e9e06a869bc,6IKBdizctcEy3bAvNUQ0KHl2mZbHxJBSTdUGW2asc6iKySTuyt-WgYAx,21,231680596.77,UTIB
5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,e0000005-0000-0000-0000-000000000005,PZ_DhTnOLjERIEd-l4fCh7Q7JKecWFfWKGB6K010vRtx6SVwIPFkkQG5,4,-131629423.33,HDFC
e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,00000006-0000-0000-0000-000000000006,Zrs20mnR8hjaLqXo9BiJ6MFaXG7dbPwe7QJ7aB3tc4pI4v91u0S3KGHe,21,8695000.75,KKBK
2d52dda2-d98a-4381-af80-45bdb173860c,00000007-0000-0000-0000-000000000007,c2Xly8PHwkMklWx_afyHGRQ7j3_yYlpYLJP6ZGDvUXLGJ3HNpcq4SnAI,46,3887946.81,CNRB
ac1a0654-461b-4216-95d1-bbcb9ab6da4e,00000008-0000-0000-0000-000000000008,7fgAGfBjkdPTr-1Ik1hA-elINw0PzEed9yBZwmbzbvQK1Nbk7oF-wOOJ,21,3278516.63,SBIN
e984c75d-aad6-4655-823a-4e9e06a869bc,00000009-0000-0000-0000-000000000009,8iYunYVhKX5hN5c07_lllBHZ6bTPSJK2CLp1J31wHnDHzXMAyCYHqQzM,46,-117420771.35,ICIC
56c0ef40-cb71-4f8f-a3ee-b633b299f900,4cc94478-23db-4b59-8297-8aadf554bf1c,HEsnp87n0CNB7jOqQCYeapF0O8XIJ32Mc5w7bXtEUbsbHFmdZ1N6wQ==,21,-46248386.72,UNITY
02d6e914-05c5-4d11-99a9-5bfd69d6ac50,198a8cb4-b239-47ac-bfa6-a9a6b43581ac,ZBrk2Rb2DFLWvnanupDPgoT_JJXWiGzs2QFxcWe0HVx-BRhwF1E4ew==,0,870333872.33,SBIN
b320d469-b49c-4ade-bee9-adcb9c644e49,1d0449a1-da4f-4ac3-a78f-da1a50eaec5a,PNXEBMUwYILk6Sqwu-d7zUDmS1lIBhXSuibp6GQ2SC2VeLlFC0KDog==,99,-390702876.40,IOBA
0c5010c8-fa88-4732-a2cf-0be564efc25d,7243cbbc-1672-4110-943d-8f1e39e2e7a5,p899ZTBBKvHQhbE9FxqYc8AyQUVM8bXhPHskt8qFfFHQyJAL1agazQ==,99,55198746.04,DBSS
